USB Device Number	 Description	 Packet Number	 Date And Time	 Elapsed Time	 RSL	 Packet Status	 Channel	 Byte Count	 PDU	 Priority	 L/S Adr	 ASN (0)	 Net ID	 To	 From	 DLPDU Specifier	 Advertise Payload	 DLL MIC	 CRC	 CRC Failure	 DLL Authenticates	 DLL Key Used	 DLL Nonce Used	 DLL ASN Used	 DLL Calc Mic	 NL Ctl	 TTL	 ASN Snippet	 Graph ID	 Dest	 Src	 Proxy	 Src Route 1	 Src Route 2	 PayloadHex	 Payload	 SL Ctl	 SL Cnt	 SL MIC	 SL Decrypts	 SL Key Used	 SL Nonce Used	 SL Calc Mic	 TL Ctl	 TL Status	 TL ExStatus	 Cipher Text	 Clear Text
124646	 802.15.4-DATA	 149745	 2016-04-26 18:50:26.839	 376,079,849.324	 -64	 0x0000	 14	 33	 Adv	 Alarm	 88	 90	 1055	 FFFF	 63BE	 09	 	 ED000000	 EDEB	 	 auth failure	 00000000000000000000000000000000	 00000000000000000000000000	 0000000000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 214188905510FFFFBE630910FCFFBE631EADF6BDDB4000A213000100ED000000EDEB	 
124646	 802.15.4-DATA	 149746	 2016-04-26 18:50:27.067	 376,080,078.072	 -32	 0x0000	 19	 38	 Adv	 Cmd	 88	 63	 AAAA	 FFFF	 0001	 31	 0004310863000FFF7F010A010D00640200194D00000D	 4E651CCA	 0DEC	 	 	 7777772E68617274636F6D6D2E6F7267	 00043108630000000000000001	 0004310863	 4E651CCA	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 26418863AAAAFFFF0100310004310863000FFF7F010A010D00640200194D00000D4E651CCA0DEC	 
124646	 802.15.4-DATA	 149747	 2016-04-26 18:50:27.089	 376,080,098.098	 -57	 0x0000	 21	 76	 Data	 PData	 88	 65	 AAAA	 0001	 0012	 2F	 	 7296F6BF	 F4EA	 	 auth failure	 00000000000000000000000000000000	 00043108650000000000000012	 0004310865	 1EEA98BB	 00	 18	 	 	 FFFFFFFFFFFFFFFF	 FFFFFFFFFFFFFFFF	 	 	 	 	 	 	 error	 	 decrypt failure	 00000000000000000000000000000000	 00000000000000000000000000	 	 00	 00	 00	 4C418865AAAA010012002F00200863011CF981001200791B744C05E83E30B1A6EFBBE23C89C48DA10BA000F4F512606C4F470DF1E4560298870351E6C62C2C966C884DB1F79D217296F6BFF4EA	 
124646	 802.15.4-DATA	 149748	 2016-04-26 18:50:27.089	 376,080,101.736	 -33	 0x0000	 21	 19	 ACK	 PData	 88	 65	 AAAA	 0012	 0001	 28	 	 9FFA3130	 0CEA	 	 auth failure	 00000000000000000000000000000000	 00043108650000000000000001	 0004310865	 96360755	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 13418865AAAA12000100280000029FFA31300CEA	 
124646	 802.15.4-DATA	 149749	 2016-04-26 18:50:27.127	 376,080,137.830	 -64	 0x0000	 14	 33	 Adv	 Alarm	 88	 91	 1055	 FFFF	 63BE	 09	 	 ED000000	 EDEB	 	 auth failure	 00000000000000000000000000000000	 00000000000000000000000000	 0000000000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 214188915510FFFFBE630910FCFFBE631EADF6BDDB4000A213000100ED000000EDEB	 
124646	 802.15.4-DATA	 149750	 2016-04-26 18:50:27.319	 376,080,328.097	 -54	 0x0000	 19	 76	 Data	 PData	 88	 7C	 AAAA	 0012	 0011	 2F	 	 6087AC9D	 F7EA	 	 auth failure	 00000000000000000000000000000000	 000431087C0000000000000011	 000431087C	 E2A11E46	 00	 18	 	 	 FFFFFFFFFFFFFFFF	 FFFFFFFFFFFFFFFF	 	 	 	 	 	 	 error	 	 decrypt failure	 00000000000000000000000000000000	 00000000000000000000000000	 	 00	 00	 00	 4C41887CAAAA120011002F00200863011AF981001100A9F908B9886F3E11F2FE86BA2380AE4F4533BC50D3BB660382068303A90FB1C8DDAB219A2368C76D6854028C8E34C853F76087AC9DF7EA	 
124646	 802.15.4-DATA	 149751	 2016-04-26 18:50:27.319	 376,080,331.734	 -55	 0x0000	 19	 19	 ACK	 PData	 88	 7C	 AAAA	 0011	 0012	 28	 	 36C934AE	 F6EB	 	 auth failure	 00000000000000000000000000000000	 000431087C0000000000000012	 000431087C	 40469845	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 1341887CAAAA110012002800001D36C934AEF6EB	 
124646	 802.15.4-DATA	 149752	 2016-04-26 18:50:27.339	 376,080,348.098	 -55	 0x0000	 16	 76	 Data	 PData	 88	 7E	 AAAA	 0001	 0012	 2F	 	 05347D01	 F6EB	 	 auth failure	 00000000000000000000000000000000	 000431087E0000000000000012	 000431087E	 E08A3016	 00	 18	 	 	 FFFFFFFFFFFFFFFF	 FFFFFFFFFFFFFFFF	 	 	 	 	 	 	 error	 	 decrypt failure	 00000000000000000000000000000000	 00000000000000000000000000	 	 00	 00	 00	 4C41887EAAAA010012002F001F0863011AF981001100A9F908B9886F3E11F2FE86BA2380AE4F4533BC50D3BB660382068303A90FB1C8DDAB219A2368C76D6854028C8E34C853F705347D01F6EB	 
124646	 802.15.4-DATA	 149753	 2016-04-26 18:50:27.339	 376,080,351.737	 -31	 0x0000	 16	 19	 ACK	 PData	 88	 7E	 AAAA	 0012	 0001	 28	 	 4AA3D549	 0EEA	 	 auth failure	 00000000000000000000000000000000	 000431087E0000000000000001	 000431087E	 1AD2C256	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 1341887EAAAA12000100280000004AA3D5490EEA	 
124646	 802.15.4-DATA	 149754	 2016-04-26 18:50:27.387	 376,080,398.069	 -33	 0x0000	 21	 38	 Adv	 Cmd	 88	 83	 AAAA	 FFFF	 0001	 31	 0004310883000FFF7F010A010D00640200194D00000D	 ECDE893C	 0CEC	 	 	 7777772E68617274636F6D6D2E6F7267	 00043108830000000000000001	 0004310883	 ECDE893C	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 26418883AAAAFFFF0100310004310883000FFF7F010A010D00640200194D00000DECDE893C0CEC	 
