;netid  AAAA
;joinkey  00001234000000000000000000000000
124646, 802.15.4-DATA, 149760, 2016-04-26 18:50:28.320, 376081328.098, -59, 0x0000, 14, 4C 41 88 E0 AA AA 12 00 11 00 2F 00 20 08 C7 01 1A F9 81 00 11 00 AA DA 2A AD F7 D1 0D 57 7E 7F 5A 14 86 7A D9 8D 1A 5A C5 0A 47 53 52 F7 58 E2 51 7A 93 D6 6B 8C C2 20 0C B4 AF F2 3E 25 C8 0C 56 E0 26 7C BC 5F 79 97 21 B2 DE F2 EC
124646, 802.15.4-DATA, 149761, 2016-04-26 18:50:28.320, 376081331.733, -53, 0x0000, 14, 13 41 88 E0 AA AA 11 00 12 00 28 00 00 1C 4F 2F 60 BA F8 EC
124646, 802.15.4-DATA, 149762, 2016-04-26 18:50:28.340, 376081348.093, -54, 0x0000, 11, 4C 41 88 E2 AA AA 01 00 12 00 2F 00 1F 08 C7 01 1A F9 81 00 11 00 AA DA 2A AD F7 D1 0D 57 7E 7F 5A 14 86 7A D9 8D 1A 5A C5 0A 47 53 52 F7 58 E2 51 7A 93 D6 6B 8C C2 20 0C B4 AF F2 3E 25 C8 0C 56 E0 26 7C BC 5F 79 D4 15 4D A1 F7 EC
124646, 802.15.4-DATA, 149763, 2016-04-26 18:50:28.340, 376081351.729, -31, 0x0000, 11, 13 41 88 E2 AA AA 12 00 01 00 28 00 00 06 37 D9 B1 23 0E EA
124646, 802.15.4-DATA, 149764, 2016-04-26 18:50:28.388, 376081398.065, -31, 0x0000, 16, 26 41 88 E7 AA AA FF FF 01 00 31 00 04 31 08 E7 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D C7 85 68 96 0E EB
124646, 802.15.4-DATA, 149765, 2016-04-26 18:50:28.638, 376081648.071, -31, 0x0000, 11, 26 41 88 00 AA AA FF FF 01 00 31 00 04 31 09 00 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 77 D2 0A B9 0E EC
124646, 802.15.4-DATA, 149766, 2016-04-26 18:50:28.818, 376081828.068, -31, 0x0000, 14, 26 41 88 12 AA AA FF FF 01 00 31 00 04 31 09 12 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 90 92 5F F3 0E EB
124646, 802.15.4-DATA, 149767, 2016-04-26 18:50:29.068, 376082078.068, -31, 0x0000, 24, 26 41 88 2B AA AA FF FF 01 00 31 00 04 31 09 2B 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 56 FF 26 F5 0E EC
124646, 802.15.4-DATA, 149768, 2016-04-26 18:50:29.089, 376082098.092, -54, 0x0000, 11, 4C 41 88 2D AA AA 01 00 12 00 2F 00 20 09 2B 01 1C F9 81 00 12 00 7B 90 F3 1D 94 AD CC 4B 7A 05 7F F3 A3 99 5B FD 92 D3 A5 D8 ED 84 B6 C5 A7 45 33 09 AD 71 FD A3 E0 82 86 F8 80 AF 20 AF 4B 9C 1A 76 E1 35 A6 2D 9D 0D B9 12 1C F7 EB
124646, 802.15.4-DATA, 149769, 2016-04-26 18:50:29.091, 376082101.728, -31, 0x0000, 11, 13 41 88 2D AA AA 12 00 01 00 28 00 00 05 A1 AB B9 F6 0E EC
124646, 802.15.4-DATA, 149770, 2016-04-26 18:50:29.319, 376082328.097, -54, 0x0000, 24, 4C 41 88 44 AA AA 12 00 11 00 2F 00 20 09 2B 01 1A F9 81 00 11 00 AB B9 10 DD 83 B7 7E 25 85 DD 5E 91 63 81 9C 61 96 28 BF 85 B8 B5 8F 6E 4C C9 53 85 0A 5D E3 3B 1F 74 4B E3 FA 19 A9 80 59 BE 76 40 08 F2 EE 98 DA A3 9B D6 CA F7 E9
124646, 802.15.4-DATA, 149771, 2016-04-26 18:50:29.321, 376082331.736, -55, 0x0000, 24, 13 41 88 44 AA AA 11 00 12 00 28 00 00 1A CA F7 D7 6F F6 EB
124646, 802.15.4-DATA, 149772, 2016-04-26 18:50:29.338, 376082348.096, -56, 0x0000, 21, 4C 41 88 46 AA AA 01 00 12 00 2F 00 1F 09 2B 01 1A F9 81 00 11 00 AB B9 10 DD 83 B7 7E 25 85 DD 5E 91 63 81 9C 61 96 28 BF 85 B8 B5 8F 6E 4C C9 53 85 0A 5D E3 3B 1F 74 4B E3 FA 19 A9 80 59 BE 76 40 08 F2 EE 98 DA 25 2B 09 1F F5 EC
124646, 802.15.4-DATA, 149773, 2016-04-26 18:50:29.341, 376082351.734, -36, 0x0000, 21, 13 41 88 46 AA AA 12 00 01 00 28 00 00 00 A5 41 B8 CC 09 EC
124646, 802.15.4-DATA, 149774, 2016-04-26 18:50:29.388, 376082398.066, -31, 0x0000, 11, 26 41 88 4B AA AA FF FF 01 00 31 00 04 31 09 4B 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 7D 50 A7 E1 0E EC
124646, 802.15.4-DATA, 149775, 2016-04-26 18:50:29.639, 376082648.067, -35, 0x0000, 21, 26 41 88 64 AA AA FF FF 01 00 31 00 04 31 09 64 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 37 57 A0 C3 0A EC
124646, 802.15.4-DATA, 149776, 2016-04-26 18:50:29.730, 376082738.306, -97, 0x0001, 14, 33 50 64 51 0B 74 67 A5 4B FC FD E0 C7 5A 77 B0 4E 55 A3 9A 70 96 12 92 34 B1 4C 47 B8 00 DB F5 7B 7E 3D F3 47 61 C5 66 63 52 89 B2 C6 1D 8A 89 E4 CB CC 22
124646, 802.15.4-DATA, 149777, 2016-04-26 18:50:29.819, 376082828.064, -31, 0x0000, 24, 26 41 88 76 AA AA FF FF 01 00 31 00 04 31 09 76 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D C4 B7 45 60 0E EA
124646, 802.15.4-DATA, 149778, 2016-04-26 18:50:30.069, 376083078.069, -32, 0x0000, 19, 26 41 88 8F AA AA FF FF 01 00 31 00 04 31 09 8F 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 8D 60 51 32 0D EA
124646, 802.15.4-DATA, 149779, 2016-04-26 18:50:30.090, 376083098.090, -56, 0x0000, 21, 4C 41 88 91 AA AA 01 00 12 00 2F 00 20 09 8F 01 1C F9 81 00 12 00 7C 78 EB 35 59 F1 ED A0 81 5C 59 8E EB EB BD 49 1C AA 2E 35 AF DD 67 DE 9F C9 E8 DC 87 FF C9 B8 33 41 EB 0D 46 5C F0 93 0C 7F 79 BC 15 FF 4D 24 5C 6E 34 36 72 F5 EB
124646, 802.15.4-DATA, 149780, 2016-04-26 18:50:30.092, 376083101.729, -36, 0x0000, 21, 13 41 88 91 AA AA 12 00 01 00 28 00 00 07 58 5B D6 3A 09 EB
124646, 802.15.4-DATA, 149781, 2016-04-26 18:50:30.320, 376083328.097, -54, 0x0000, 19, 4C 41 88 A8 AA AA 12 00 11 00 2F 00 20 09 8F 01 1A F9 81 00 11 00 AC 4A 2D E4 8B 0D B7 C9 D2 29 9F 72 B4 11 26 E6 B7 D9 DD 2F 64 BD 27 68 CD F7 76 DB 9B 43 A5 F4 40 D0 EE 27 5E 8A 2F E6 6C 3A 1C 28 2D D2 89 86 32 5F 39 BF D1 F7 EC
124646, 802.15.4-DATA, 149782, 2016-04-26 18:50:30.322, 376083331.735, -55, 0x0000, 19, 13 41 88 A8 AA AA 11 00 12 00 28 00 00 17 CA 5B D0 83 F6 EB
124646, 802.15.4-DATA, 149783, 2016-04-26 18:50:30.340, 376083348.091, -53, 0x0000, 16, 4C 41 88 AA AA AA 01 00 12 00 2F 00 1F 09 8F 01 1A F9 81 00 11 00 AC 4A 2D E4 8B 0D B7 C9 D2 29 9F 72 B4 11 26 E6 B7 D9 DD 2F 64 BD 27 68 CD F7 76 DB 9B 43 A5 F4 40 D0 EE 27 5E 8A 2F E6 6C 3A 1C 28 2D D2 89 86 32 2A AB F2 95 F8 EB
124646, 802.15.4-DATA, 149784, 2016-04-26 18:50:30.342, 376083351.730, -31, 0x0000, 16, 13 41 88 AA AA AA 12 00 01 00 28 00 00 05 C3 4A B6 60 0E EA
124646, 802.15.4-DATA, 149785, 2016-04-26 18:50:30.390, 376083398.066, -35, 0x0000, 21, 26 41 88 AF AA AA FF FF 01 00 31 00 04 31 09 AF 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 7D C8 A6 C2 0A EB
124646, 802.15.4-DATA, 149786, 2016-04-26 18:50:30.640, 376083648.067, -31, 0x0000, 16, 26 41 88 C8 AA AA FF FF 01 00 31 00 04 31 09 C8 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 3F 04 8E 72 0E EB
124646, 802.15.4-DATA, 149787, 2016-04-26 18:50:30.819, 376083828.068, -32, 0x0000, 19, 26 41 88 DA AA AA FF FF 01 00 31 00 04 31 09 DA 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 71 FA AF 85 0D EA
124646, 802.15.4-DATA, 149788, 2016-04-26 18:50:31.069, 376084078.069, -31, 0x0000, 14, 26 41 88 F3 AA AA FF FF 01 00 31 00 04 31 09 F3 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D D7 D6 5D 1D 0E EB
124646, 802.15.4-DATA, 149789, 2016-04-26 18:50:31.090, 376084098.086, -55, 0x0000, 16, 4C 41 88 F5 AA AA 01 00 12 00 2F 00 20 09 F3 01 1C F9 81 00 12 00 7D 7E 23 F7 41 B2 07 64 05 98 DA C9 CC 26 5B 5B A5 3F 26 54 55 E5 93 F7 65 A5 F4 EA 1B EB C9 F9 CC CD 55 CB 9A FF 0D 95 3D D6 28 99 8E 95 61 D4 34 37 5E 2A F5 F6 EC
124646, 802.15.4-DATA, 149790, 2016-04-26 18:50:31.092, 376084101.725, -31, 0x0000, 16, 13 41 88 F5 AA AA 12 00 01 00 28 00 00 09 BD D4 75 9D 0E EB
124646, 802.15.4-DATA, 149791, 2016-04-26 18:50:31.320, 376084328.098, -59, 0x0000, 14, 4C 41 88 0C AA AA 12 00 11 00 2F 00 20 09 F3 01 1A F9 81 00 11 00 AD 4C 08 62 72 15 5C 9D A5 64 05 53 F5 45 50 51 A7 6A 39 ED 46 E3 6E 2D A4 E0 E1 01 B9 1A 73 0A 61 36 A9 87 FA 1F EE 21 03 3A 75 3C C5 CB 7C AB BD 64 88 91 B8 F2 EA
124646, 802.15.4-DATA, 149792, 2016-04-26 18:50:31.322, 376084331.735, -53, 0x0000, 14, 13 41 88 0C AA AA 11 00 12 00 28 00 00 13 22 CE EC F1 F8 EB
124646, 802.15.4-DATA, 149793, 2016-04-26 18:50:31.340, 376084348.087, -53, 0x0000, 11, 4C 41 88 0E AA AA 01 00 12 00 2F 00 1F 09 F3 01 1A F9 81 00 11 00 AD 4C 08 62 72 15 5C 9D A5 64 05 53 F5 45 50 51 A7 6A 39 ED 46 E3 6E 2D A4 E0 E1 01 B9 1A 73 0A 61 36 A9 87 FA 1F EE 21 03 3A 75 3C C5 CB 7C AB BD 7F A9 C9 B3 F8 EA
